Numero;Date;Type;Nombre;Montant;Cours;Nom;YahooName;Remarques
239;2021-04-30 00:00:00;Solde;;21.77;;;;
240;2021-05-06 00:00:00;Coupons;1;5.5;5.5;KERING;;
241;2021-05-06 00:00:00;Coupons;15;25.5;1.7;BOUYGUES;;
242;2021-05-06 00:00:00;Coupons;52;41.86;0.805;STELLANTIS;;
243;2021-05-07 00:00:00;Coupons;12;38.4;3.2;SANOFI;;
244;2021-05-11 00:00:00;Coupons;45;64.35;1.43;AXA;;
245;2021-05-12 00:00:00;Coupons;26;18.2;0.7;VEOLIA;;
246;2021-05-19 00:00:00;Coupons;5;15;3;EIFFAGE;;
247;2021-05-26 00:00:00;Coupons;75;41.25;0.55;SOCIETE GENERALE;;
248;2021-05-26 00:00:00;Coupons;77;40.81;0.53;ENGIE;;
249;2021-05-26 00:00:00;Coupons;37;41.07;1.11;BNP;;
250;2021-05-26 00:00:00;Virement;;275;;;;
251;2021-05-27 00:00:00;Coupons;44;25.3;0.575;MICHELIN;;
252;2021-05-28 00:00:00;Coupons;44;35.2;0.8;CREDIT AGRICOLE;;
253;2021-05-28 00:00:00;RachatDiv;3;33.84;11.28;CREDIT AGRICOLE;;
254;2021-05-28 00:00:00;Achat;5;470.99;94.198;VINCI;;
255;2021-05-31 00:00:00;Solde;;184.38;;;;
256;2021-06-01 00:00:00;Coupons;15;1.68;0.112;DASSAULT SYSTEMES;;
257;2021-06-02 00:00:00;Coupons;15;6.45;0.43;SAFRAN;;
258;2021-06-04 00:00:00;Achat;18;480.96;26.72;SOCIETE GENERALE;;
259;2021-06-04 00:00:00;Coupons;5;9.75;1.95;CAPGEMINI;;
260;2021-06-04 00:00:00;Coupons;248;14.88;0.06;NATIXIS;;
261;2021-06-04 00:00:00;Coupons;15;14.25;0.95;BOIRON;;
262;2021-06-04 00:00:00;Virement;;310;;;;
263;2021-06-07 00:00:00;Coupons;50;10.5;0.21;EDF; ;
264;2021-06-09 00:00:00;Coupons;14;18.62;1.33;SAINT-GOBAIN;;
265;2021-06-09 00:00:00;Coupons;38;23.37;0.615;FDJ;;
266;2021-06-09 00:00:00;Coupons;20;15;0.75;EDENRED;;
267;2021-06-18 00:00:00;Achat;4;501.97;125.4925;SAFRAN;;
268;2021-06-18 00:00:00;Virement;;380;;;;
269;2021-06-18 00:00:00;Coupons;120;60;0.5;ORANGE;;
270;2021-06-23 00:00:00;Coupons;38;34.2;0.9;FDJ;;
271;2021-06-25 00:00:00;Coupons;45;1.92;0.042666667;STMICROELECTRONICS;;
272;2021-06-30 00:00:00;Solde;;102.07;;;;
273;2021-07-02 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
274;2021-07-08 00:00:00;Coupons;37;24.05;0.65;SUEZ;;
275;2021-07-22 00:00:00;Vente;248;992;4;NATIXIS;;
276;2021-07-23 00:00:00;Achat;22;485.13;22.05136364;AXA;;
277;2021-07-31 00:00:00;Solde;;666.65;;;;
278;2021-08-23 00:00:00;Achat;17;489.99;28.82294118;VEOLIA;;
279;2021-08-30 00:00:00;Virement;;350;;;;
280;2021-08-31 00:00:00;Solde;;526.66;;;;
281;2021-09-09 11:56:21;Achat;99;499.17;5.042121212;NOKIA;;
282;2021-09-09 00:00:00;Virement;;500;;;;
283;2021-09-23 00:00:00;Achat;8;181.6;22.7;VEOLIA;;
284;2021-09-24 00:00:00;Coupons;45;1.95;0.043333333;STMICROELECTRONICS;;
285;2021-09-27 00:00:00;Coupons;43;0.9;0.020930233;VEOLIA;;
286;2021-09-30 00:00:00;Coupons;37;57.35;1.55;BNP;;
287;2021-09-30 00:00:00;Solde;;406.09;;;;
288;2021-10-04 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
289;2021-10-11 00:00:00;Virement;;600;;;;
290;2021-10-14 00:00:00;Achat;25;462.5;18.5;OVH;OVH.PA;Introduction
291;2021-10-28 00:00:00;Achat;10;489.45;48.945;DASSAULT SYSTEMES;;
292;2021-10-31 00:00:00;Solde;;87.8;;;;
293;2021-11-08 00:00:00;Virement;;500;;;;
294;2021-11-16 00:00:00;Coupons;50;15;0.3;EDF;;
295;2021-11-16 00:00:00;RachatDiv;1;11.12;11.12;EDF;;
296;2021-11-18 00:00:00;Coupons;16;10.4;0.65;VINCI;;
297;2021-11-30 00:00:00;Virement;;121.73;;;;Versement compensatoire NORDEA
298;2021-11-30 00:00:00;Solde;;723.81;;;;
299;2021-12-02 00:00:00;Virement;;32.19;;;;Dividende LCL AC MDHRSEUR.3D
300;2021-12-15 00:00:00;Coupons;120;36;0.3;ORANGE;;
301;2021-12-17 00:00:00;Coupons;45;2.03;0.045111111;STMICROELECTRONICS;;
302;2021-12-20 00:00:00;Achat;5;498.83;99.766;SAFRAN;;
303;2021-12-31 00:00:00;Solde;;295.2;;;;
304;2022-01-14 00:00:00;Achat;56;498.74;8.906071429;EDF;;
305;2022-01-14 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
306;2022-01-17 00:00:00;Coupons;1;3.5;3.5;KERING;;
307;2022-01-18 00:00:00;Vente125;37;734.45;19.85;SUEZ;;OPA
308;2022-01-31 00:00:00;Solde;;1286.18;;;;
309;2022-02-15 00:00:00;Achat;21;487.49;23.21380952;OVH;;
310;2022-02-28 00:00:00;Solde;;798.69;;;;
311;2022-03-02 00:00:00;Achat;20;487.84;24.392;RENAULT;;
312;2022-03-07 00:00:00;Virement;;700;;;;
313;2022-03-07 00:00:00;Achat;50;500.33;10.0066;ENGIE;;
